"","TIME_STAMP","WIND_SPEED","WIND_DIR","POWER","DAY","MONTH","YEAR","MIN_TIME","HOUR_TIME","WIND_MOV","SPD_MOV"
"539","2011-03-11",8.465,22,582.4,11,3,2011,1080,1800,0.316000000000001,0.047
"545","2011-03-11",8.73666666666667,22,587.483333333333,11,3,2011,1140,1900,0.340000000000001,-0.0130000000000001
"551","2011-03-11",9.13,23,496.7,11,3,2011,1200,2000,0.3315,0.067
"553","2011-03-14",6.092,22,208.6,14,3,2011,790,1310,0.345630769230769,-0.000817948717948718
"558","2011-03-14",7.74,21,337.5,14,3,2011,1000,1640,0.0659999999999997,0.017
"559","2011-03-14",7.825,24,272.1,14,3,2011,1240,2040,0.31728125,-0.0056875
"561","2011-03-14",7.13166666666667,23,367.05,14,3,2011,1260,2100,0.346833333333334,-0.073
"567","2011-03-14",6.40833333333333,22,255.5,14,3,2011,1320,2200,0.270499999999999,-0.041
"573","2011-03-14",6.67833333333333,23,290.416666666667,14,3,2011,1380,2300,0.291166666666667,0.0180000000000001
"579","2011-03-15",5.86,23,198.516666666667,15,3,2011,0,0,0.414333333333334,-0.0390000000000001
"585","2011-03-15",4.53666666666667,23,85.6666666666667,15,3,2011,60,100,0.453,-0.075
"591","2011-03-15",5.45666666666667,22,160.85,15,3,2011,120,200,0.36,0.037
"597","2011-03-15",6.085,23,220.4,15,3,2011,180,300,0.443666666666667,0.00800000000000001
"603","2011-03-15",5.555,23,164.933333333333,15,3,2011,240,400,0.314,0.000999999999999979
"609","2011-03-15",4.66,24,94.65,15,3,2011,300,500,0.347333333333333,0.0109999999999999
"615","2011-03-15",5.44,24,162.816666666667,15,3,2011,360,600,0.348666666666667,0.0390000000000001
"621","2011-03-15",5.965,23,205.983333333333,15,3,2011,420,700,0.3475,-0.00100000000000007
"627","2011-03-15",5.98333333333333,23,210.133333333333,15,3,2011,480,800,0.323333333333333,-0.0100000000000001
"633","2011-03-15",5.84333333333333,23,196.833333333333,15,3,2011,540,900,0.305166666666666,-0.034
"639","2011-03-15",6.475,23,266.583333333333,15,3,2011,600,1000,0.257166666666667,0.018
"645","2011-03-15",4.634,25,101.68,15,3,2011,660,1100,0.6588,-0.015
"650","2011-03-15",6.838,19,293.84,15,3,2011,910,1510,0.30732380952381,0.0124285714285714
"655","2011-03-15",6.905,19,320.083333333333,15,3,2011,960,1600,0.2165,0.00700000000000003
"661","2011-03-15",6.71166666666667,19,285.983333333333,15,3,2011,1020,1700,0.143833333333333,0.029
"667","2011-03-15",5.99833333333333,19,212.85,15,3,2011,1080,1800,0.321333333333334,-0.069
"673","2011-03-15",6.82833333333333,20,303.983333333333,15,3,2011,1140,1900,0.316833333333333,-0.032
"679","2011-03-15",6.23833333333333,21,231.05,15,3,2011,1200,2000,0.313666666666667,0.00199999999999996
"685","2011-03-15",6.95166666666667,22,335.466666666667,15,3,2011,1260,2100,0.1775,0.0359999999999999
"691","2011-03-15",5.55666666666667,22,164.6,15,3,2011,1320,2200,0.4225,-0.033
"697","2011-03-15",5.31,23,143.5,15,3,2011,1380,2300,0.592666666666666,0.0140000000000001
"703","2011-03-16",5.28,23,134.75,16,3,2011,0,0,0.201333333333333,-0.0140000000000001
"709","2011-03-16",5.28,22,147.166666666667,16,3,2011,60,100,0.318,-0.013
"715","2011-03-16",6.09833333333333,22,225.516666666667,16,3,2011,120,200,0.269333333333334,0.158
"721","2011-03-16",7.31833333333333,22,381.016666666667,16,3,2011,180,300,0.614666666666667,-0.056
"727","2011-03-16",7.55,23,432.65,16,3,2011,240,400,1.58216666666667,-0.047
"733","2011-03-16",7.7,24,472.233333333333,16,3,2011,300,500,0.481,-0.025
"739","2011-03-16",7.69666666666667,26,453.083333333333,16,3,2011,360,600,0.6075,-0.029
"745","2011-03-16",7.34,26,404.866666666667,16,3,2011,420,700,0.187166666666666,0.054
"751","2011-03-16",7.465,25,424.416666666667,16,3,2011,480,800,0.378333333333333,0.0840000000000001
"757","2011-03-16",7.52666666666667,25,438.616666666667,16,3,2011,540,900,0.250333333333332,-0.012
"763","2011-03-16",7.18166666666667,25,391.883333333333,16,3,2011,600,1000,0.106000000000002,-0.0439999999999999
"769","2011-03-16",7.59166666666667,25,446.966666666667,16,3,2011,660,1100,0.281833333333333,0.0300000000000001
"775","2011-03-16",7.495,23,435.35,16,3,2011,720,1200,0.402666666666667,-0.023
"781","2011-03-17",8.62333333333333,25,552.133333333333,17,3,2011,90,130,0.284666666666666,0
"784","2011-03-17",8.02333333333333,25,498.6,17,3,2011,120,200,0.2035,-0.0459999999999999
"790","2011-03-17",7.435,26,411.166666666667,17,3,2011,180,300,0.333666666666667,-0.035
"796","2011-03-17",6.74333333333333,26,316.8,17,3,2011,240,400,0.266333333333334,-0.046
"802","2011-03-17",6.88333333333333,26,335.916666666667,17,3,2011,300,500,0.177833333333333,0.019
"808","2011-03-17",7.416,25,408.52,17,3,2011,360,600,0.249,0.024
"813","2011-03-17",7.962,25,524.42,17,3,2011,490,810,0.2412,-0.0109999999999999
"818","2011-03-17",7.5575,25,410.35,17,3,2011,540,900,0.20825,-0.041
"822","2011-03-17",6.975,24,259.575,17,3,2011,620,1020,0.27755,-0.0184
"826","2011-03-17",6.21,24,237.5,17,3,2011,660,1100,0.243000000000001,-0.031
"827","2011-03-17",6.955,23,323.15,17,3,2011,800,1320,0.320749999999999,0.012
"831","2011-03-17",6.45,23,265.9,17,3,2011,840,1400,0.568333333333332,-0.000999999999999979
"834","2011-03-17",6.77,21,298.3,17,3,2011,950,1550,0.121000000000001,-0.00600000000000005
"835","2011-03-17",7.06666666666667,21,334.283333333333,17,3,2011,960,1600,0.256166666666667,-0.00499999999999998
"841","2011-03-17",6.82,21,316.2,17,3,2011,1020,1700,0.240333333333333,0.027
"847","2011-03-17",6.62333333333333,21,284.1,17,3,2011,1080,1800,0.0663333333333336,0.028
"850","2011-03-17",5.495,20,135.15,17,3,2011,1160,1920,0.128291666666667,-0.0131666666666667
"854","2011-03-17",5.91333333333333,21,202.95,17,3,2011,1200,2000,0.4725,0.058
"860","2011-03-17",5.59,20,170.016666666667,17,3,2011,1260,2100,0.3445,-0.059
"866","2011-03-17",5.73166666666667,19,182,17,3,2011,1320,2200,0.350333333333334,0.00999999999999996
"872","2011-03-17",4.46666666666667,18,82.2333333333333,17,3,2011,1380,2300,0.715333333333333,-0.037
"878","2011-03-18",3.404,18,35.62,18,3,2011,0,0,0.673799999999999,0.00800000000000001
"883","2011-03-18",3.62,10,31.9,18,3,2011,110,150,0.930571428571429,0.019
"884","2011-03-18",5.19333333333333,14,137.683333333333,18,3,2011,120,200,0.971166666666667,0.0979999999999999
"890","2011-03-18",4.222,14,76.74,18,3,2011,180,300,0.8224,-0.075
"895","2011-03-18",3.42166666666667,10,26.4,18,3,2011,240,400,2.33066666666667,-0.00800000000000001
"901","2011-03-18",3.8525,8,56.225,18,3,2011,300,500,1.33866666666667,-0.178
"905","2011-03-18",4.95166666666667,9,130.4,18,3,2011,360,600,1.01183333333333,0.029
"911","2011-03-18",4.16333333333333,15,70.45,18,3,2011,420,700,1.31066666666667,-0.059
"917","2011-03-18",4.11666666666667,15,66.4166666666667,18,3,2011,480,800,0.893166666666666,0.00699999999999994
"923","2011-03-18",3.255,19,54.9,18,3,2011,540,900,0.5805,-0.0220000000000001
"925","2011-03-18",3.64,18,40.0333333333333,18,3,2011,690,1130,0.241261904761906,0.011
"928","2011-03-18",2.89,18,13.45,18,3,2011,720,1200,0.0849000000000003,-0.11
"930","2011-03-18",4.67166666666667,18,103.416666666667,18,3,2011,780,1300,0.561833333333333,0.097
"936","2011-03-18",4.38666666666667,20,82.0666666666667,18,3,2011,840,1400,0.546500000000001,-0.03
"942","2011-03-18",4.68,21,100.6,18,3,2011,900,1500,0.381,0.055
"943","2011-03-18",6.96,20,334.7,18,3,2011,1010,1650,0.178,-0.07
"944","2011-03-18",6.75833333333333,20,298.75,18,3,2011,1020,1700,0.335499999999999,0.028
"950","2011-03-18",6.09333333333333,20,224.366666666667,18,3,2011,1080,1800,0.300833333333334,-0.00800000000000001
"956","2011-03-18",6.37,20,253,18,3,2011,1140,1900,0.667000000000002,-0.019
"957","2011-03-18",6.74333333333333,21,298.333333333333,18,3,2011,1350,2230,0.443,-0.025
"960","2011-03-18",6.49666666666667,20,278.616666666667,18,3,2011,1380,2300,0.517166666666668,-0.057
"966","2011-03-19",6.98166666666667,21,327.55,19,3,2011,0,0,0.344666666666666,0.00899999999999999
"972","2011-03-19",7.09,21,342.633333333333,19,3,2011,60,100,0.359,0.013
"978","2011-03-19",6.62833333333333,21,290,19,3,2011,120,200,0.457999999999999,0.0180000000000001
"984","2011-03-19",6.285,21,257.5,19,3,2011,180,300,0.387833333333332,-0.00399999999999992
"990","2011-03-19",5.805,20,191.966666666667,19,3,2011,240,400,0.573833333333333,0.0220000000000001
